"Reference","Value","Footprint","QUANTITY"
"C1-C3,C5,C7","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","5"
"C4,C6","330n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","2"
"FLG1-FLG4","PWR_FLAG","","4"
"J1","SENSOR_INPUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1"
"J2","POWER_INPUT","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm","1"
"J3","ESP32_LEFT_HDR","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","1"
"J4","ESP32_RIGHT_HDR","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","1"
"J5","ADS1115_MODULE","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","1"
"R1,R2","1.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"Rf1","5.9k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"Rf2","90k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"Rf3,Rref1","30k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"Rf4,Rg1,Rg2,Rin2","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4"
"Rin1","36k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1"
"Rref_a1,Rref_b1","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2"
"U1,U2","TL082","Package_DIP:DIP-8_W7.62mm","2"
"U3","LM7812","Package_TO_SOT_THT:TO-220-3_Vertical","1"
"U4","LM7912","Package_TO_SOT_THT:TO-220-3_Vertical","1"
